MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
104,2,ESL One Stockholm 2022,Team Liquid,dire,32,WIN,47:52,Keeper of the Light,Spectre,Undying,Hoodwink,Dragon Knight
105,1,Intel World Open Beijing,Invictus Gaming,radiant,19,WIN,27:14,Tiny,Dark Seer,Nyx Assassin,Storm Spirit,Bane
105,1,Intel World Open Beijing,Team Aster,dire,12,LOSE,27:14,Faceless Void,Broodmother,Lion,Templar Assassin,Snapfire
105,2,Intel World Open Beijing,Invictus Gaming,dire,16,LOSE,36:05,Luna,Ember Spirit,Mars,Ogre Magi,Snapfire
105,2,Intel World Open Beijing,Team Aster,radiant,42,WIN,36:05,Enchantress,Tidehunter,Queen of Pain,Templar Assassin,Bane
105,3,Intel World Open Beijing,Invictus Gaming,dire,22,LOSE,50:39,Morphling,Kunkka,Ancient Apparition,Legion Commander,Grimstroke
105,3,Intel World Open Beijing,Team Aster,radiant,44,WIN,50:39,Pangolier,Void Spirit,Snapfire,Monkey King,Io
106,1,DPC 2022 Summer Tour - South America Division 1,Tempest,dire,41,WIN,35:49,Bloodseeker,Invoker,Phoenix,Snapfire,Beastmaster
106,1,DPC 2022 Summer Tour - South America Division 1,Infinity Esports,radiant,12,LOSE,35:49,Sand King,Grimstroke,Lina,Pudge,Marci
106,2,DPC 2022 Summer Tour - South America Division 1,Tempest,radiant,10,LOSE,30:37,Snapfire,Void Spirit,Treant Protector,Medusa,Tiny
106,2,DPC 2022 Summer Tour - South America Division 1,Infinity Esports,dire,31,WIN,30:37,Terrorblade,Monkey King,Bane,Rubick,Beastmaster
106,3,DPC 2022 Summer Tour - South America Division 1,Tempest,dire,18,LOSE,34:19,Ogre Magi,Visage,Leshrac,Batrider,Chaos Knight
106,3,DPC 2022 Summer Tour - South America Division 1,Infinity Esports,radiant,48,WIN,34:19,Pangolier,Juggernaut,Grimstroke,Hoodwink,Underlord
107,1,DPC 2022 Summer Tour - South America Division 1,Tempest,dire,37,WIN,36:45,Dawnbreaker,Juggernaut,Ember Spirit,Rubick,Visage
107,1,DPC 2022 Summer Tour - South America Division 1,Infamous,radiant,28,LOSE,36:45,Luna,Sven,Puck,Mirana,Sand King
107,2,DPC 2022 Summer Tour - South America Division 1,Tempest,dire,19,LOSE,34:57,Grimstroke,Pangolier,Bloodseeker,Rubick,Dawnbreaker
107,2,DPC 2022 Summer Tour - South America Division 1,Infamous,radiant,38,WIN,34:57,Chaos Knight,Queen of Pain,Clockwerk,Mirana,Timbersaw
107,3,DPC 2022 Summer Tour - South America Division 1,Tempest,radiant,43,LOSE,41:21,Bloodseeker,Nyx Assassin,Visage,Puck,Viper
107,3,DPC 2022 Summer Tour - South America Division 1,Infamous,dire,36,WIN,41:21,Monkey King,Nature's Prophet,Sand King,Hoodwink,Dawnbreaker
108,1,DPC 2022 Winter Tour - Eastern Europe Finals,Team Spirit,radiant,10,LOSE,33:57,Leshrac,Phantom Lancer,Jakiro,Night Stalker,Weaver
108,1,DPC 2022 Winter Tour - Eastern Europe Finals,HellRaisers,dire,27,WIN,33:57,Magnus,Troll Warlord,Dark Willow,Mars,Bane
108,2,DPC 2022 Winter Tour - Eastern Europe Finals,Team Spirit,dire,25,WIN,31:35,Monkey King,Sand King,Rubick,Lina,Bane
108,2,DPC 2022 Winter Tour - Eastern Europe Finals,HellRaisers,radiant,15,LOSE,31:35,Brewmaster,Luna,Treant Protector,Weaver,Queen of Pain
108,3,DPC 2022 Winter Tour - Eastern Europe Finals,Team Spirit,radiant,7,LOSE,37:52,Lina,Morphling,Lion,Shadow Demon,Mars
108,3,DPC 2022 Winter Tour - Eastern Europe Finals,HellRaisers,dire,33,WIN,37:52,Lycan,Outworld Devourer,Mirana,Treant Protector,Razor
109,1,ESL One Stockholm 2022,Fnatic,radiant,14,LOSE,39:01,Necrophos,Brewmaster,Phoenix,Treant Protector,Templar Assassin
109,1,ESL One Stockholm 2022,Gaimin Gladiators,dire,26,WIN,39:01,Ember Spirit,Snapfire,Dragon Knight,Chaos Knight,Io
109,2,ESL One Stockholm 2022,Fnatic,dire,12,LOSE,32:12,Tidehunter,Weaver,Hoodwink,Chaos Knight,Storm Spirit
109,2,ESL One Stockholm 2022,Gaimin Gladiators,radiant,23,WIN,32:12,Monkey King,Ember Spirit,Enchantress,Bane,Mars
110,1,Intel World Open Beijing,PSG.LGD,radiant,26,WIN,33:23,Shadow Demon,Lina,Tusk,Tidehunter,Templar Assassin
110,1,Intel World Open Beijing,Team Aster,dire,12,LOSE,33:23,Winter Wyvern,Wraith King,Queen of Pain,Mars,Bane
110,2,Intel World Open Beijing,PSG.LGD,dire,36,LOSE,56:37,Ursa,Lycan,Storm Spirit,Tidehunter,Snapfire
110,2,Intel World Open Beijing,Team Aster,radiant,39,WIN,56:37,Night Stalker,Nyx Assassin,Leshrac,Monkey King,Bane
110,3,Intel World Open Beijing,PSG.LGD,dire,19,LOSE,42:10,Drow Ranger,Rubick,Pangolier,Kunkka,Bane
